iter	Passed	Remaining
0	65	65794
1	132	66290
2	202	67270
3	271	67481
4	339	67519
5	401	66462
6	468	66511
7	541	67131
8	608	67003
9	680	67330
10	747	67250
11	814	67097
12	884	67123
13	950	66950
14	1020	66980
15	1084	66710
16	1148	66437
17	1226	66911
18	1295	66864
19	1362	66745
20	1425	66451
21	1491	66310
22	1560	66273
23	1622	65983
24	1682	65616
25	1751	65608
26	1817	65498
27	1884	65418
28	1950	65324
29	2017	65233
30	2081	65079
31	2142	64802
32	2200	64472
33	2284	64894
34	2348	64754
35	2407	64459
36	2471	64338
37	2531	64082
38	2592	63890
39	2653	63679
40	2721	63658
41	2781	63439
42	2844	63305
43	2907	63165
44	2970	63030
45	3036	62983
46	3099	62856
47	3169	62865
48	3239	62866
49	3306	62821
50	3373	62769
51	3435	62625
52	3497	62498
53	3559	62356
54	3621	62230
55	3691	62229
56	3753	62101
57	3817	61996
58	3882	61916
59	3947	61848
60	4013	61778
61	4078	61706
62	4146	61669
63	4215	61651
64	4282	61601
65	4350	61565
66	4410	61416
67	4475	61346
68	4540	61269
69	4608	61229
70	4676	61194
71	4742	61122
72	4804	61011
73	4868	60927
74	4932	60829
75	4996	60746
76	5064	60708
77	5127	60610
78	5193	60547
79	5255	60441
80	5318	60343
81	5383	60272
82	5444	60154
83	5506	60047
84	5567	59929
85	5628	59816
86	5695	59774
87	5762	59724
88	5824	59619
89	5886	59521
90	5952	59458
91	6017	59385
92	6083	59326
93	6143	59211
94	6203	59097
95	6264	58991
96	6328	58914
97	6390	58819
98	6450	58709
99	6511	58599
100	6573	58512
101	6635	58420
102	6702	58370
103	6765	58287
104	6826	58186
105	6887	58088
106	6951	58012
107	7014	57932
108	7077	57856
109	7143	57799
110	7210	57748
111	7275	57686
112	7341	57624
113	7404	57545
114	7465	57449
115	7536	57434
116	7601	57367
117	7668	57321
118	7734	57260
119	7797	57182
120	7863	57125
121	7925	57038
122	7988	56960
123	8049	56864
124	8110	56775
125	8171	56685
126	8232	56587
127	8295	56510
128	8359	56441
129	8427	56398
130	8494	56351
131	8559	56281
132	8623	56214
133	8688	56152
134	8751	56076
135	8812	55984
136	8882	55954
137	8946	55883
138	9010	55814
139	9082	55793
140	9150	55745
141	9214	55675
142	9278	55605
143	9351	55589
144	9419	55543
145	9484	55479
146	9547	55399
147	9610	55325
148	9676	55267
149	9747	55237
